flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-321,KC0D-3,2022-04-02 07:17:47.500,2022-04-02 07:17:45,5211.0,1588.31,2.0,0.0,ascending,True,/131745h3936.49N/10402.53WO039/000/A=005211 19T8382P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/131745h3936.49N/10402.53WO039/000/A=005211 19T8382P EOSS BALLOON",39.0,0.0,0.0,39.6081666667,-104.0421666667,0.0,0.0,35.42,1.9,275.05,83820.0,0.83,0.00205993,1.06164289,0.0,0.0,0.03333333,0.01,high Re,,0.033333,,,,,,4.372456,,0.01,,,,,,1.332687,
EOSS-321,KC0D-1,2022-04-02 07:17:46.913,2022-04-02 07:17:45,5222.0,1591.67,10.0,0.0,ascending,True,/131745h3936.48N/10402.53WO254/000!W99!/A=005222 166T8427P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/131745h3936.48N/10402.53WO254/000!W99!/A=005222 166T8427P EOSS BALLOON",254.0,0.0,0.0,39.60815,-104.0423166667,0.01,0.01,61.88,16.6,289.75,84270.0,0.83,0.00196592,1.01319257,0.0,0.0,0.16666667,0.051,high Re,0.004444,0.1,0.004444,0.094281,,0.707106,,4.565847,0.001367,0.0305,0.001367,0.028991,,0.707116,,1.391759,
EOSS-321,AE0SS-12,2022-04-02 07:17:58.654,2022-04-02 07:17:57,5240.0,1597.15,46.0,12.0,ascending,True,/131757h3936.50N/10402.53WO147/010EOSS Balloon  www.eoss.org/A=005240!W48!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/131757h3936.50N/10402.53WO147/010EOSS Balloon  www.eoss.org/A=005240!W48!",147.0,12.0,19.3,39.6084,-104.0423,0.02,0.03,,,,,,,,1.67e-06,-3.33e-06,0.76666667,0.23366667,high Re,0.02,0.322222,0.012222,0.390631,0.011,1.137761,0.707091,4.879225,0.006089,0.098222,0.003728,0.119076,0.003339,1.137464,0.707098,1.487165,
EOSS-321,KC0D-3,2022-04-02 07:18:20.050,2022-04-02 07:18:15,5646.0,1720.9,870.0,30.0,ascending,True,/131815h3936.55N/10402.52WO020/017/A=005646 31T8258P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/131815h3936.55N/10402.52WO020/017/A=005646 31T8258P EOSS BALLOON",20.0,20.0,32.2,39.6091666667,-104.042,0.07,0.11,37.58,3.1,276.25,82580.0,0.82,0.00202064,1.04139393,5.56e-06,3.333e-05,14.5,4.41966667,high Re,0.457778,3.866667,0.160741,7.09606,0.257359,1.498484,1.154174,11.002053,0.139533,1.178583,0.048996,2.162909,0.078443,1.498484,1.154176,3.353424,
EOSS-321,KC0D-1,2022-04-02 07:18:16.977,2022-04-02 07:18:15,5676.0,1730.04,908.0,30.0,ascending,True,/131815h3936.55N/10402.52WO021/016!W27!/A=005676 168T8282P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/131815h3936.55N/10402.52WO021/016!W27!/A=005676 168T8282P EOSS BALLOON",21.0,18.0,29.0,39.6092,-104.0421166667,0.07,0.11,62.24,16.8,289.95,82820.0,0.82,0.00193076,0.99507213,6.67e-06,3.5e-05,15.13333333,4.61233333,high Re,0.021111,6.12,0.125833,7.946893,0.221427,1.134196,-0.472941,11.387956,0.006422,1.865333,0.038353,2.422139,0.067493,1.134122,-0.473101,3.470997,
EOSS-321,AE0SS-12,2022-04-02 07:18:28.558,2022-04-02 07:18:27,5778.0,1761.13,1076.0,42.0,ascending,True,/131827h3936.57N/10402.49WO042/005EOSS Balloon  www.eoss.org/A=005778!W85!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/131827h3936.57N/10402.49WO042/005EOSS Balloon  www.eoss.org/A=005778!W85!",42.0,6.0,9.7,39.6096333333,-104.0415833333,0.11,0.17,,,,,,,,2.389e-05,4.111e-05,17.93333333,5.466,high Re,0.093333,8.088889,0.119333,8.589623,0.192312,1.146086,-0.135197,12.637704,0.028456,2.465444,0.036373,2.618054,0.058618,1.146102,-0.135061,3.851929,
EOSS-321,KC0D-3,2022-04-02 07:18:47.496,2022-04-02 07:18:45,6282.0,1914.75,1272.0,60.0,ascending,True,/131845h3936.58N/10402.45WO092/006/A=006282 86T8060P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/131845h3936.58N/10402.45WO092/006/A=006282 86T8060P EOSS BALLOON",92.0,7.0,11.3,39.6096666667,-104.0408333333,0.13,0.2,47.48,8.6,281.75,80600.0,0.8,0.00193369,0.99658321,3.889e-05,1.667e-05,21.2,6.46166667,high Re,0.108889,9.961905,0.117592,9.275883,0.172062,1.211539,-0.050581,17.547946,0.033189,3.036333,0.035843,2.827231,0.052446,1.211551,-0.050604,5.348593,
EOSS-321,KC0D-1,2022-04-02 07:18:46.804,2022-04-02 07:18:45,6310.0,1923.29,1268.0,60.0,ascending,True,/131845h3936.58N/10402.45WO095/007!W30!/A=006310 167T8087P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/131845h3936.58N/10402.45WO095/007!W30!/A=006310 167T8087P EOSS BALLOON",95.0,8.0,12.9,39.6097166667,-104.0408333333,0.13,0.21,62.06,16.7,289.85,80870.0,0.8,0.00188595,0.97197834,4.278e-05,1.722e-05,21.13333333,6.44166667,high Re,-0.002222,11.358333,0.100476,9.452534,0.163468,1.034114,-0.628245,17.765807,-0.000667,3.462,0.030627,2.881125,0.049825,1.034202,-0.628078,5.415041,
EOSS-321,AE0SS-12,2022-04-02 07:18:58.500,2022-04-02 07:18:57,6402.0,1951.33,1248.0,72.0,ascending,True,/131857h3936.58N/10402.41WO094/009EOSS Balloon  www.eoss.org/A=006402!W81!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/131857h3936.58N/10402.41WO094/009EOSS Balloon  www.eoss.org/A=006402!W81!",94.0,10.0,16.1,39.6098,-104.0401833333,0.15,0.25,,,,,,,,4.667e-05,5.56e-06,20.8,6.34,high Re,-0.011111,12.407407,0.086528,9.385446,0.1564,0.894214,-0.62429,18.445505,-0.003389,3.781778,0.026375,2.860698,0.047671,0.894265,-0.624363,5.6222,
EOSS-321,KC0D-3,2022-04-02 07:19:19.908,2022-04-02 07:19:15,6934.0,2113.48,1304.0,90.0,ascending,True,/131915h3936.59N/10402.38WO104/005/A=006934 84T7867P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/131915h3936.59N/10402.38WO104/005/A=006934 84T7867P EOSS BALLOON",104.0,6.0,9.7,39.6098333333,-104.0396666667,0.18,0.28,47.12,8.4,281.55,78670.0,0.78,0.00188873,0.97341059,3.889e-05,5.56e-06,21.73333333,6.62433333,high Re,0.031111,13.34,0.08037,9.327191,0.14746,0.899878,-0.33405,21.416856,0.009478,4.066033,0.024498,2.842942,0.044946,0.899878,-0.334179,6.527852,
