flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-329,KC0D-3,2022-10-15 07:59:50.199,2022-10-15 07:59:45,5246.0,1598.98,78.0,0.0,ascending,/135945h3936.49N/10402.53WO342/009/A=005246 77T8407P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/135945h3936.49N/10402.53WO342/009/A=005246 77T8407P EOSS BALLOON",342.0,10.0,16.1,39.6081666667,-104.0421666667,0.0,0.0,45.86,7.7,280.85,84070.0,0.83,0.0020234,1.04281932,0.0,5.56e-06,1.3,0.39633333,high Re,,1.3,,,,,,10.077704,,0.396333,,,,,,3.071726,
EOSS-329,KC0D-1,2022-10-15 08:00:01.894,2022-10-15 08:00:00,5648.0,1721.51,838.0,15.0,ascending,/140000h3936.48N/10402.49WO158/011/A=005648 134T8327P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140000h3936.48N/10402.49WO158/011/A=005648 134T8327P EOSS BALLOON",158.0,13.0,20.9,39.608,-104.0415,0.04,0.06,56.12,13.4,286.55,83270.0,0.82,0.00196428,1.0123498,2.778e-05,-1.111e-05,13.96666667,4.257,high Re,0.422222,7.633333,0.422222,8.956686,,0.707107,,13.719262,0.128689,2.326667,0.128689,2.729904,,0.707107,,4.181661,
EOSS-329,AE0SS-13,2022-10-15 08:00:12.194,2022-10-15 08:00:11,5755.0,1754.12,1088.0,26.0,ascending,/140011h3936.43N/10402.48WO227/006EOSS Baloon/A=005755!W68!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/140011h3936.43N/10402.48WO227/006EOSS Baloon/A=005755!W68!",227.0,7.0,11.3,39.6072666667,-104.0414666667,0.07,0.12,,,,,,,,2.333e-05,-2.556e-05,18.13333333,5.527,high Re,0.138889,11.133333,0.280556,8.767047,0.200347,0.798444,-0.707108,14.542709,0.042333,3.393444,0.085511,2.672121,0.061063,0.79845,-0.707106,4.432618,
EOSS-329,KC0D-3,2022-10-15 08:00:17.721,2022-10-15 08:00:15,5872.0,1789.79,1252.0,30.0,ascending,/140015h3936.42N/10402.50WO223/017/A=005872 93T8212P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140015h3936.42N/10402.50WO223/017/A=005872 93T8212P EOSS BALLOON",223.0,20.0,32.2,39.607,-104.0416666667,0.08,0.14,48.74,9.3,282.45,82120.0,0.81,0.00196527,1.01286091,1.667e-05,-3.889e-05,20.86666667,6.36033333,high Re,0.091111,13.566667,0.217407,8.655934,0.178976,0.843352,-0.705659,15.379376,0.027778,4.135167,0.066267,2.638326,0.054547,0.843401,-0.705612,4.68769,
EOSS-329,KC0D-1,2022-10-15 08:00:31.851,2022-10-15 08:00:30,6228.0,1898.29,1160.0,45.0,ascending,/140030h3936.37N/10402.58WO230/014/A=006228 135T8136P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140030h3936.37N/10402.58WO230/014/A=006228 135T8136P EOSS BALLOON",230.0,16.0,25.7,39.6061666667,-104.043,0.15,0.23,56.3,13.5,286.65,81360.0,0.8,0.00191856,0.98878403,-5e-05,-6.111e-05,19.33333333,5.89266667,high Re,-0.051111,14.72,0.150278,7.92747,0.198445,0.581943,-1.014835,17.55086,-0.015589,4.486667,0.045803,2.416264,0.060487,0.58189,-1.014962,5.349495,
EOSS-329,AE0SS-13,2022-10-15 08:00:42.341,2022-10-15 08:00:41,6389.0,1947.37,1268.0,56.0,ascending,/140041h3936.32N/10402.63WO221/023EOSS Baloon/A=006389!W05!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/140041h3936.32N/10402.63WO221/023EOSS Baloon/A=006389!W05!",221.0,26.0,41.8,39.6053333333,-104.0439166667,0.22,0.35,,,,,,,,-8.167e-05,-6.444e-05,21.13333333,6.44166667,high Re,0.06,15.788889,0.132222,7.558503,0.176537,0.707077,-0.409104,18.365775,0.0183,4.8125,0.040302,2.303838,0.053808,0.707153,-0.408898,5.597914,
EOSS-329,KC0D-3,2022-10-15 08:00:49.777,2022-10-15 08:00:45,6479.0,1974.8,1214.0,60.0,ascending,/140045h3936.29N/10402.65WO220/026/A=006479 104T8031P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140045h3936.29N/10402.65WO220/026/A=006479 104T8031P EOSS BALLOON",220.0,30.0,48.3,39.6048333333,-104.0441666667,0.25,0.41,50.72,10.4,283.55,80310.0,0.79,0.0019145,0.98669385,-8.333e-05,-7.222e-05,20.23333333,6.167,high Re,-0.03,16.42381,0.105185,7.101479,0.171226,0.536441,-0.789512,18.780319,-0.009156,5.006,0.032059,2.164522,0.052191,0.536377,-0.789696,5.724255,
EOSS-329,KC0D-1,2022-10-15 08:01:01.896,2022-10-15 08:01:00,6879.0,2096.72,1302.0,75.0,ascending,/140100h3936.23N/10402.76WO222/025/A=006879 136T7944P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140100h3936.23N/10402.76WO222/025/A=006879 136T7944P EOSS BALLOON",222.0,29.0,46.7,39.6038333333,-104.046,0.36,0.58,56.48,13.6,286.75,79440.0,0.78,0.00187263,0.9651132,-0.0001,-7.778e-05,21.7,6.61433333,high Re,0.048889,17.083333,0.097143,6.834204,0.157749,0.675524,-0.305891,20.304089,0.014911,5.207042,0.029609,2.083072,0.048083,0.675585,-0.30568,6.188693,
EOSS-329,AE0SS-13,2022-10-15 08:01:12.298,2022-10-15 08:01:11,7032.0,2143.35,1286.0,86.0,ascending,/140111h3936.16N/10402.84WO242/029EOSS Baloon/A=007032!W89!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/140111h3936.16N/10402.84WO242/029EOSS Baloon/A=007032!W89!",242.0,33.0,53.1,39.6028,-104.0474833333,0.47,0.75,,,,,,,,-0.00011889,-8.444e-05,21.43333333,6.53266667,high Re,-0.008889,17.566667,0.083889,6.555193,0.150782,0.589863,-0.615312,20.764072,-0.002722,5.354333,0.025568,1.99801,0.04596,0.589754,-0.615535,6.328882,
EOSS-329,KC0D-3,2022-10-15 08:01:17.721,2022-10-15 08:01:15,7144.0,2177.49,1330.0,90.0,ascending,/140115h3936.14N/10402.88WO244/026/A=007144 96T7832P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140115h3936.14N/10402.88WO244/026/A=007144 96T7832P EOSS BALLOON",244.0,30.0,48.3,39.6023333333,-104.048,0.51,0.82,49.28,9.6,282.75,78320.0,0.77,0.00187235,0.96496712,-0.00012778,-8.333e-05,22.16666667,6.75633333,high Re,0.024444,18.026667,0.077284,6.349177,0.142428,0.652053,-0.370994,21.062663,0.007456,5.494533,0.023556,1.935211,0.043414,0.652022,-0.370848,6.419898,
