flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-332,AE0SS-12,2023-01-14 07:16:28.539,2023-01-14 07:16:27,5312.0,1619.1,216.0,0.0,ascending,/141627h3936.52N/10402.53WO029/013EOSS Balloon  www.eoss.org/A=005312!W69!,"AE0SS-12>APTT4,EOSS,qAO,N0NDM-6:/141627h3936.52N/10402.53WO029/013EOSS Balloon  www.eoss.org/A=005312!W69!",29.0,15.0,24.1,39.6087666667,-104.0423166667,0.0,0.0,,,,,,,,-6.67e-06,1e-05,3.6,1.09733333,high Re,,3.6,,,,,,6.65225,,1.097333,,,,,,2.027638,
EOSS-332,AE0SS-12,2023-01-14 07:16:58.249,2023-01-14 07:16:57,5877.0,1791.31,1130.0,30.0,ascending,/141657h3936.47N/10402.47WO181/006EOSS Balloon  www.eoss.org/A=005877!W90!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/141657h3936.47N/10402.47WO181/006EOSS Balloon  www.eoss.org/A=005877!W90!",181.0,7.0,11.3,39.6079833333,-104.0411666667,0.08,0.13,,,,,,,,3.833e-05,-2.611e-05,18.83333333,5.74033333,high Re,0.507778,11.216667,0.507778,10.771593,,0.707107,,13.715857,0.154767,3.418833,0.154767,3.283097,,0.707107,,4.180593,
EOSS-332,KC0D-14,2023-01-14 07:17:01.952,2023-01-14 07:17:00,6019.0,1834.59,811.0,33.0,ascending,/141700h3936.47N/10402.47WO170/009/A=006019 241T8118P 'EOSS Balloon',"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N0NDM-6:/141700h3936.47N/10402.47WO170/009/A=006019 241T8118P 'EOSS Balloon'",170.0,10.0,16.1,39.6078333333,-104.0411666667,0.09,0.14,75.38,24.1,297.25,81180.0,0.8,0.00184605,0.95141421,1.667e-05,-8.33e-06,13.51666667,4.11983333,high Re,-0.088611,11.983333,0.209583,7.731555,0.421711,0.198322,-0.707105,15.017951,-0.027008,3.6525,0.063879,2.356515,0.128534,0.198315,-0.707105,4.577457,
EOSS-332,AE0SS-12,2023-01-14 07:17:28.350,2023-01-14 07:17:27,6474.0,1973.28,1194.0,60.0,ascending,/141727h3936.38N/10402.47WO165/003EOSS Balloon  www.eoss.org/A=006474!W93!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/141727h3936.38N/10402.47WO165/003EOSS Balloon  www.eoss.org/A=006474!W93!",165.0,3.0,4.8,39.6064833333,-104.0412166667,0.17,0.27,,,,,,,,-1.67e-06,-5e-05,19.9,6.06566667,high Re,0.212778,13.9625,0.210648,7.451154,0.2982,0.796856,0.007143,18.185906,0.064861,4.255792,0.064207,2.271112,0.090889,0.796911,0.007196,5.543087,
EOSS-332,KC0D-14,2023-01-14 07:17:31.820,2023-01-14 07:17:30,6623.0,2018.69,1208.0,63.0,ascending,/141730h3936.38N/10402.47WO168/009/A=006623 243T7947P 'EOSS Balloon',"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/141730h3936.38N/10402.47WO168/009/A=006623 243T7947P 'EOSS Balloon'",168.0,10.0,16.1,39.6063333333,-104.0411666667,0.18,0.29,75.74,24.3,297.45,79470.0,0.78,0.00180595,0.93074709,0.0,-5e-05,20.13333333,6.13666667,high Re,0.007778,15.196667,0.159931,7.018234,0.263764,0.703406,-0.576853,18.940875,0.002367,4.631967,0.048747,2.139159,0.080394,0.703407,-0.576909,5.773174,
EOSS-332,AE0SS-12,2023-01-14 07:17:58.326,2023-01-14 07:17:57,7048.0,2148.23,1148.0,90.0,ascending,/141757h3936.30N/10402.44WO147/009EOSS Balloon  www.eoss.org/A=007048!W34!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-1:/141757h3936.30N/10402.44WO147/009EOSS Balloon  www.eoss.org/A=007048!W34!",147.0,10.0,16.1,39.60505,-104.0407333333,0.27,0.43,,,,,,,,1.611e-05,-4.778e-05,19.13333333,5.83166667,high Re,-0.033333,15.852778,0.121278,6.479767,0.244231,0.506277,-0.633052,20.491792,-0.010167,4.831917,0.036964,1.975014,0.074442,0.506199,-0.633124,6.245895,
EOSS-332,KC0D-14,2023-01-14 07:18:01.800,2023-01-14 07:18:00,7225.0,2202.18,1204.0,93.0,ascending,/141800h3936.30N/10402.43WO134/016/A=007225 243T7778P 'EOSS Balloon',"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/141800h3936.30N/10402.43WO134/016/A=007225 243T7778P 'EOSS Balloon'",134.0,18.0,29.0,39.605,-104.0405,0.28,0.45,75.74,24.3,297.45,77780.0,0.77,0.00176754,0.91095393,2.222e-05,-4.444e-05,20.06666667,6.11633333,high Re,0.031111,16.454762,0.10625,6.125861,0.221526,0.589616,-0.339188,20.919149,0.009489,5.015405,0.032385,1.867148,0.067521,0.589631,-0.339095,6.376155,
EOSS-332,AE0SS-12,2023-01-14 07:18:28.450,2023-01-14 07:18:27,7691.0,2344.22,1286.0,120.0,ascending,/141827h3936.18N/10402.35WO123/014EOSS Balloon  www.eoss.org/A=007691!W88!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/141827h3936.18N/10402.35WO123/014EOSS Balloon  www.eoss.org/A=007691!W88!",123.0,16.0,25.7,39.6031333333,-104.0393,0.42,0.68,,,,,,,,4.778e-05,-6.389e-05,21.43333333,6.533,high Re,0.045556,17.077083,0.09758,5.938313,0.203522,0.733584,-0.255619,21.581924,0.013889,5.205104,0.029743,1.809999,0.062033,0.733645,-0.255574,6.578172,
EOSS-332,KC0D-14,2023-01-14 07:18:31.806,2023-01-14 07:18:30,7889.0,2404.57,1328.0,123.0,ascending,/141830h3936.16N/10402.35WO134/021/A=007889 241T7597P 'EOSS Balloon',"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/141830h3936.16N/10402.35WO134/021/A=007889 241T7597P 'EOSS Balloon'",134.0,24.0,38.6,39.6026666667,-104.0391666667,0.45,0.73,75.38,24.1,297.25,75970.0,0.75,0.00172757,0.890354,4.444e-05,-7.778e-05,22.13333333,6.74633333,high Re,0.023333,17.638889,0.088299,5.804847,0.190244,0.774257,-0.341488,21.704834,0.007111,5.376352,0.026914,1.769326,0.057986,0.774296,-0.341513,6.615633,
EOSS-332,AE0SS-12,2023-01-14 07:18:58.445,2023-01-14 07:18:57,8354.0,2546.3,1326.0,150.0,ascending,/141857h3936.07N/10402.26WO183/005EOSS Balloon  www.eoss.org/A=008354!W60!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/141857h3936.07N/10402.26WO183/005EOSS Balloon  www.eoss.org/A=008354!W60!",183.0,6.0,9.7,39.6012666667,-104.0376666667,0.57,0.92,,,,,,,,5.444e-05,-6.222e-05,22.1,6.736,high Re,-0.001111,18.085,0.078364,5.651758,0.180436,0.710398,-0.440461,21.736607,-0.000344,5.512317,0.023885,1.722656,0.054997,0.710347,-0.440551,6.625317,
